idcode,year,age,grade,not_smsa,south,ttl_exp,tenure,ln_wage,black,age2,ttl_exp2,tenure2
1,70,18,12,0,0,1.0833333,.083333336,1.451214,1,324,1.1736109,.006944445
1,71,19,12,0,0,1.275641,.083333336,1.0286198,1,361,1.6272599,.006944445
1,72,20,12,0,0,2.2564101,.91666669,1.5899774,1,400,5.0913868,.84027779
1,73,21,12,0,0,2.3141024,.083333336,1.7802728,1,441,5.3550701,.006944445
1,75,23,12,0,0,2.775641,.16666667,1.7770116,1,529,7.7041826,.02777778
1,77,25,12,0,0,3.775641,1.5,1.7786806,1,625,14.255465,2.25
1,78,26,12,0,0,3.8525641,.083333336,2.4939759,1,676,14.84225,.006944445
1,80,28,12,0,0,5.2948718,1.8333334,2.5517154,1,784,28.035667,3.3611112
1,83,31,12,0,0,5.2948718,.66666669,2.4202614,1,961,28.035667,.44444448
1,85,33,12,0,0,7.1602564,1.9166666,2.6141725,1,1089,51.269272,3.6736109
1,87,35,12,0,0,8.9871798,3.9166667,2.5363736,1,1225,80.769402,15.340279
1,88,37,12,0,0,10.333334,5.3333335,2.4629273,1,1369,106.77779,28.444447
2,71,19,12,0,0,.71153843,.25,1.3603482,1,361,.50628692,.0625
2,72,20,12,0,0,1.1346154,1,1.2061975,1,400,1.2873522,1
2,73,21,12,0,0,1.4615384,.33333334,1.5498829,1,441,2.1360946,.11111112
2,75,23,12,0,0,2.2115386,.66666669,1.8325812,1,529,4.890903,.44444448
2,77,25,12,0,0,3.2115386,2.6666667,1.726721,1,625,10.31398,7.1111116
2,78,26,12,0,0,4.2115383,3.6666667,1.6899101,1,676,17.737055,13.444445
2,80,28,12,0,0,6.0961537,5.5833335,1.7269641,1,784,37.16309,31.173613
2,82,30,12,0,0,7.6666665,7.6666665,1.8082886,1,900,58.777775,58.777775
2,83,31,12,0,0,8.583333,8.583333,1.863417,1,961,73.673607,73.673607
2,85,33,12,0,0,10.179487,1.8333334,1.7893666,1,1089,103.62196,3.3611112
2,87,35,12,0,0,12.179487,3.75,1.8465303,1,1225,148.3399,14.0625
2,88,37,12,0,0,13.621795,5.25,1.8564485,1,1369,185.55328,27.5625
3,68,22,12,0,0,.92307693,0,1.4935614,1,484,.85207099,0
3,69,23,12,0,0,1.5,.33333334,1.7025284,1,529,2.25,.11111112
3,70,24,12,0,0,2.4230769,.5,1.451214,1,576,5.8713017,.25
3,71,25,12,0,0,3.4423077,1.4166666,1.5474197,1,625,11.849483,2.0069444
3,72,26,12,0,0,4.4423075,2.4166667,1.6072942,1,676,19.734097,5.8402781
3,73,27,12,0,0,5.3846154,3.3333333,1.5972669,1,729,28.994083,11.111111
3,75,29,12,0,0,5.9423075,.41666666,1.5358496,1,841,35.31102,.1736111
3,77,31,12,0,0,6.9423075,2.4166667,1.6228406,1,961,48.195633,5.8402781
3,78,32,12,0,0,7.9807692,3.4166667,1.5666349,1,1024,63.692677,11.673612
3,80,34,12,0,0,9.8653851,5.3333335,1.5597233,1,1156,97.325821,28.444447
3,82,36,12,0,0,11.75,7.3333335,1.6034193,1,1296,138.0625,53.777779
3,83,37,12,0,0,12.615385,8.333333,1.6142294,1,1369,159.14793,69.444443
3,85,39,12,0,0,14.615385,10.333333,1.7307986,1,1521,213.60948,106.77777
3,87,41,12,0,0,16.346153,.41666666,1.5257654,1,1681,267.19672,.1736111
3,88,42,12,0,0,17.73077,1.25,1.6127769,1,1764,314.38022,1.5625
4,70,24,17,0,0,2.25,1.4166666,2.2885003,0,576,5.0625,2.0069444
4,71,25,17,0,0,3.1923077,2.4166667,2.3755784,0,625,10.190828,5.8402781
4,72,26,17,0,0,4.2115383,3.4166667,2.413923,0,676,17.737055,11.673612
4,73,27,17,0,0,4.5769229,3.75,2.2809391,0,729,20.948223,14.0625
4,75,29,17,0,0,5.3846149,3.75,2.2588139,0,841,28.994078,14.0625
4,80,34,17,0,0,5.6923075,.33333334,1.4762361,0,1156,32.402363,.11111112
4,82,36,17,0,0,7.5769229,2.4166667,1.2809334,0,1296,57.40976,5.8402781
4,83,37,17,0,0,8.3846149,3.4166667,1.5158548,0,1369,70.301765,11.673612
4,85,39,17,0,0,10.384615,5.4166665,1.9301697,0,1521,107.84023,29.340277
4,87,41,17,0,0,12.038461,.33333334,1.9190345,0,1681,144.92453,.11111112
4,88,43,17,0,0,13.211537,1.75,2.2009745,0,1849,174.54472,3.0625
5,68,22,12,0,0,1,0,1.6270928,0,484,1,0
5,69,23,12,0,0,2,.83333331,1.7876856,0,529,4,.69444442
5,70,24,12,0,0,3.0769231,1.9166666,1.8208579,0,576,9.4674559,3.6736109
5,71,25,12,0,0,4.0384617,2.9166667,1.8585224,0,625,16.309174,8.5069447
5,72,26,12,0,0,5.0384617,.66666669,1.9793015,0,676,25.386097,.44444448
5,73,27,12,0,0,6.0384617,1.6666666,1.9904118,0,729,36.46302,2.7777777
5,75,29,12,0,0,6.5769234,.33333334,1.5855049,0,841,43.25592,.11111112
5,77,31,12,0,0,7.5769234,1.75,1.9375215,0,961,57.409767,3.0625
5,78,32,12,0,0,7.8461537,.33333334,2.0704923,0,1024,61.56213,.11111112
5,80,34,12,0,0,9.3461542,1.8333334,1.8302689,0,1156,87.350601,3.3611112
5,82,36,12,0,0,10.730769,3.3333333,1.8472722,0,1296,115.14941,11.111111
6,68,21,12,0,0,.28846154,.16666667,1.5217319,0,441,.083210059,.02777778
6,69,22,12,0,0,1.0384616,,1.4793844,0,484,1.0784024,
6,70,23,12,0,0,1.0384616,1,1.4793844,0,529,1.0784024,1
6,71,24,12,0,0,1.3846154,.41666666,1.5185719,0,576,1.9171599,.1736111
6,72,25,12,0,0,2.4423077,1.4166666,1.6072942,0,625,5.9648671,2.0069444
6,73,26,12,0,0,3.3846154,2.3333333,1.8097416,0,676,11.455622,5.4444442
6,75,28,12,0,0,4.4166665,4.4166665,1.8539723,0,784,19.506943,19.506943
6,77,30,12,0,0,6.4166665,6.4166665,1.9631099,0,900,41.173611,41.173611
6,78,31,12,0,0,7.4358974,7.4166665,1.9827331,0,961,55.292568,55.006943
6,80,33,12,0,0,9.416667,9.416667,1.8467982,0,1089,88.673615,88.673615
6,82,35,12,0,0,11.416667,11.416667,1.8148247,0,1225,130.34029,130.34029
6,83,36,12,0,0,12.416667,12.416667,1.9199128,0,1296,154.17361,154.17361
6,85,38,12,0,0,14.416667,14.416667,1.9583769,0,1444,207.84029,207.84029
6,87,40,12,0,0,16.416666,16.416666,2.0070679,0,1600,269.50693,269.50693
6,88,42,12,0,0,17.820513,17.75,2.0898535,0,1764,317.57068,315.0625
7,68,19,12,0,0,1,.83333331,1.4820668,0,361,1,.69444442
7,69,19,12,0,0,2,1.6666666,1.4904344,0,361,4,2.7777777
7,70,21,12,0,0,3.0576923,2.75,1.5394455,0,441,9.3494825,7.5625
7,71,22,12,0,0,4,3.75,1.4938796,0,484,16,14.0625
7,72,23,12,0,0,5.0192308,4.75,1.4545732,0,529,25.192678,22.5625
7,73,23,12,0,0,5.0961537,4.8333335,1.4545732,0,529,25.970783,23.361113
7,87,37,12,0,0,5.9038463,.83333331,.47334209,0,1369,34.8554,.69444442
7,88,39,12,0,0,7.3269229,2.25,1.5324769,0,1521,53.6838,5.0625
9,70,18,12,0,0,.80769229,.66666669,1.4722368,0,324,.65236682,.44444448
9,71,19,12,0,0,1.7692307,1.5833334,1.7170231,0,361,3.1301773,2.5069447
9,72,20,12,0,0,2.653846,2.5,1.7472422,0,400,7.0428987,6.25
9,73,21,12,0,0,3.5833333,3.5833333,1.7997917,0,441,12.840278,12.840278
9,75,23,12,0,0,5.5833335,5.5833335,2.0171521,0,529,31.173613,31.173613
9,77,25,12,0,0,7.5833335,7.5833335,2.0913637,0,625,57.506947,57.506947
9,78,26,12,0,0,8.6410255,8.583333,2.1140988,0,676,74.66732,73.673607
9,80,28,12,0,0,10.52564,10.5,2.1137757,0,784,110.78911,110.25
9,82,30,12,0,0,12.583333,12.583333,2.3125353,0,900,158.34027,158.34027
9,83,31,12,0,0,13.583333,13.5,2.3485804,0,961,184.50694,182.25
9,85,33,12,0,0,15.583333,15.5,2.3734872,0,1089,242.84027,240.25
9,87,35,12,0,0,17.583332,17.5,2.3688986,0,1225,309.17355,306.25
9,88,37,12,0,0,19.04487,19,2.3505313,0,1369,362.70709,361
10,69,17,10,0,0,.41666666,.41666666,1.3616014,0,289,.1736111,.1736111
10,70,18,10,0,0,1.4551282,1.4166666,1.4614837,0,324,2.117398,2.0069444
10,71,19,10,0,0,2.4551282,2.4166667,1.6116626,0,361,6.0276546,5.8402781
10,72,20,10,0,0,3.25,3.25,1.3015075,0,400,10.5625,10.5625
10,75,23,10,0,0,3.5,.83333331,1.3913487,0,529,12.25,.69444442
10,77,25,10,0,0,3.5576923,0,1.3212559,0,625,12.657174,0
10,78,26,10,0,0,3.6346154,.083333336,1.4165661,0,676,13.210429,.006944445
10,80,28,10,0,0,3.9615386,.41666666,1.275272,0,784,15.693788,.1736111
10,82,30,10,0,0,5,.083333336,.79744935,0,900,25,.006944445
12,87,39,18,0,0,14.384615,12.833333,3.0007362,0,1521,206.91714,164.69444
12,88,40,18,0,0,15.557693,14.166667,2.8452649,0,1600,242.04179,200.69446
13,70,22,14,0,0,2.0192308,.58333331,1.9528544,0,484,4.0772934,.34027776
13,71,23,14,0,0,3,1.4166666,1.9544634,0,529,9,2.0069444
13,73,25,14,0,0,3.8653846,.16666667,1.8643298,0,625,14.941198,.02777778
13,75,27,14,0,0,4.6153846,2.1666667,2.0949452,0,729,21.301775,4.6944447
13,78,30,14,0,0,5.5192308,.91666669,2.1258345,0,900,30.461908,.84027779
13,80,32,14,0,0,7.3653846,,2.0504456,0,1024,54.24889,
13,82,34,14,0,0,8.3653841,1,2.1198628,0,1156,69.979652,1
13,83,35,14,0,0,9.3653841,2,2.6678684,0,1225,87.710419,4
13,85,37,14,0,0,10.769231,2.1666667,3.5791285,0,1369,115.97633,4.6944447
13,87,39,14,0,0,12.769231,4,1.6788766,0,1521,163.05325,16
13,88,40,14,0,0,14.25,5.5,2.5713699,0,1600,203.0625,30.25
14,87,39,15,0,0,6.0576925,.83333331,2.1434047,0,1521,36.695641,.69444442
14,88,40,15,0,0,7.3846154,2.25,2.0471208,0,1600,54.532543,5.0625
15,77,28,16,0,0,6.5576921,2,2.2050233,0,784,43.003326,4
15,78,29,16,0,0,7.5384617,2.8333333,2.340595,0,841,56.828403,8.0277777
15,80,31,16,0,0,8.7692308,.083333336,2.3835156,0,961,76.899406,.006944445
15,82,33,16,0,0,10.653846,2.0833333,2.5392368,0,1089,113.50443,4.3402777
15,83,34,16,0,0,10.961538,3,2.4855468,0,1156,120.15532,9
15,85,36,16,0,0,12.692307,5,2.3079464,0,1296,161.09467,25
15,87,38,16,0,0,14.461538,7,2.8137445,0,1444,209.13609,49
15,88,39,16,0,0,15.769231,8.416667,2.8211098,0,1521,248.66864,70.840286
16,70,21,15,0,0,.51923078,.5,2.0432465,0,441,.2696006,.25
16,71,22,15,0,0,1.3653846,.66666669,1.9841311,0,484,1.8642751,.44444448
16,72,23,15,0,0,2.3461537,1.6666666,2.0113277,0,529,5.5044374,2.7777777
16,73,24,15,0,0,3.3076923,2.8333333,2.0874736,0,576,10.940828,8.0277777
16,75,26,15,0,0,4.3076925,.5,1.8325812,0,676,18.556215,.25
16,77,28,15,0,0,5.3076925,2.4166667,1.9353597,0,784,28.1716,5.8402781
16,78,29,15,0,0,6.3269229,3.4166667,2.0186203,0,841,40.029953,11.673612
16,80,31,15,0,0,8.2115383,5.4166665,1.9796462,0,961,67.429359,29.340277
16,82,33,15,0,0,10.096154,7.4166665,2.128231,0,1089,101.93233,55.006943
16,83,34,15,0,0,11.096154,8.416667,2.1713836,0,1156,123.12464,70.840286
16,85,36,15,0,0,13.096154,10.5,2.2539291,0,1296,171.50926,110.25
16,87,38,15,0,0,15.096154,12.5,2.6441796,0,1444,227.89388,156.25
16,88,40,15,0,0,16.384615,13.833333,2.7397485,0,1600,268.4556,191.3611
17,70,21,15,0,0,.51923078,.5,2.0000293,0,441,.2696006,.25
17,71,22,15,0,0,1.4615386,1.4166666,1.9544634,0,484,2.136095,2.0069444
17,72,23,15,0,0,2.3333333,2.3333333,2.0831819,0,529,5.4444442,5.4444442
17,73,24,15,0,0,3.4166667,3.4166667,2.6470895,0,576,11.673612,11.673612
17,77,28,15,0,0,6.4166665,6.4166665,2.0391016,0,784,41.173611,41.173611
17,87,38,15,0,0,8.9935894,3.3333333,2.3720238,0,1444,80.884651,11.111111
18,77,28,15,0,0,1.5192308,.91666669,1.237874,0,784,2.3080623,.84027779
18,85,36,15,0,0,4.3333335,4.3333335,1.5389072,0,1296,18.777779,18.777779
18,87,38,15,0,0,6.3333335,6.3333335,1.6293058,0,1444,40.111115,40.111115
18,88,40,15,0,0,7.75,7.75,1.6550792,0,1600,60.0625,60.0625
19,70,21,15,0,0,.5,.5,2.0187805,0,441,.25,.25
19,71,22,15,0,0,1.5576923,1.5,2.0420008,0,484,2.4264052,2.25
19,72,23,15,0,0,2.4230769,2.4166667,1.7730269,0,529,5.8713017,5.8402781
19,73,24,15,0,0,3.403846,2.9166667,1.7981628,0,576,11.586167,8.5069447
19,75,26,15,0,0,4.2307692,1.75,1.9327927,0,676,17.899408,3.0625
19,78,29,15,0,0,5.0576921,.91666669,1.7809941,0,841,25.58025,.84027779
19,80,31,15,0,0,6.9423075,2.8333333,1.7041177,0,961,48.195633,8.0277777
19,82,33,15,0,0,8.8269234,4.8333335,1.8115619,0,1089,77.914574,23.361113
19,83,34,15,0,0,8.8269234,.16666667,2.1391046,0,1156,77.914574,.02777778
19,85,36,15,0,0,10.826923,2.1666667,2.1928341,0,1296,117.22227,4.6944447
19,87,38,15,0,0,12.826923,4.1666665,2.2848706,0,1444,164.52997,17.361111
19,88,40,15,0,0,14.211538,5.5833335,2.3185594,0,1600,201.96782,31.173613
20,70,21,15,0,0,.5,.5,2.0187805,0,441,.25,.25
20,71,22,15,0,0,1.5,1.5,2.0816658,0,484,2.25,2.25
20,72,23,15,0,0,2.4038463,.33333334,2.1172609,0,529,5.7784767,.11111112
20,73,24,15,0,0,3.4423077,1.4166666,2.099896,0,576,11.849483,2.0069444
20,75,26,15,0,0,4.4423075,3.4166667,2.0823932,0,676,19.734097,11.673612
20,77,28,15,0,0,5.4166665,5.4166665,2.1005802,0,784,29.340277,29.340277
20,78,29,15,0,0,6.4935894,6.4166665,1.9903961,0,841,42.166702,41.173611
20,80,31,15,0,0,8.3782043,2,1.9586951,0,961,70.194305,4
20,82,33,15,0,0,9.916666,3.5833333,1.9273149,0,1089,98.340263,12.840278
20,83,34,15,0,0,10.666666,.75,2.0688183,0,1156,113.77776,.5625
20,85,36,15,0,0,12.51282,1.3333334,2.1928341,0,1296,156.57066,1.7777779
20,87,38,15,0,0,14.51282,3.25,2.2189126,0,1444,210.62195,10.5625
20,88,39,15,0,0,15.858974,4.6666665,2.2681837,0,1521,251.50706,21.777777
21,70,21,15,1,0,.38461539,.33333334,1.9075546,0,441,.147929,.11111112
21,72,23,15,0,0,1.75,1.75,2.2083449,0,529,3.0625,3.0625
21,73,24,15,0,0,2.7692308,2.75,2.1940827,0,576,7.6686397,7.5625
21,75,26,15,0,0,3.4230771,1.1666666,1.910543,0,676,11.717457,1.361111
21,85,36,15,0,0,10,10,.98552239,0,1296,100,100
22,69,21,15,0,0,.42307693,.41666666,1.9493881,0,441,.17899409,.1736111
22,70,22,15,0,0,1.4230769,1.4166666,1.971228,0,484,2.0251477,2.0069444
22,71,23,15,0,0,2.4166667,2.4166667,2.0420008,0,529,5.8402781,5.8402781
22,72,24,15,0,0,2.4166667,.41666666,2.3216734,0,576,5.8402781,.1736111
22,73,25,15,0,0,3.4358974,1.4166666,2.3205674,0,625,11.80539,2.0069444
22,75,27,15,0,0,4.1858974,.083333336,2.3160081,0,729,17.521736,.006944445
22,77,29,15,0,0,4.8782053,2.0833333,2.1295154,0,841,23.796886,4.3402777
22,78,30,15,0,0,5.8589745,3.0833333,2.0568414,0,900,34.327583,9.5069437
22,80,32,15,0,0,7.7435899,5.0833335,2.1601057,0,1024,59.963184,25.840279
22,82,34,15,0,0,9.6282053,7.0833335,2.209372,0,1156,92.702339,50.173615
22,85,37,15,0,0,11.628205,10,2.2520454,0,1369,135.21516,100
22,87,39,15,0,0,13.628205,1.5,2.0070679,0,1521,185.72798,2.25
22,88,41,15,0,0,15.012821,3,2.2036452,0,1681,225.3848,9
23,75,28,15,1,0,5.7692313,.16666667,1.910543,0,784,33.284031,.02777778
23,77,30,15,1,0,6.3846159,1.6666666,1.8546993,0,900,40.763321,2.7777777
23,82,35,15,1,0,8.9230776,1.5833334,1.8562976,0,1225,79.621315,2.5069447
23,83,36,15,1,0,9.9615393,2.5833333,1.8737952,0,1296,99.232262,6.6736107
23,87,40,15,1,0,13.961539,6.6666665,1.7964861,0,1600,194.92458,44.444443
23,88,42,15,1,0,15.346155,8.083333,2.0858622,0,1764,235.50447,65.340271
24,68,21,14,0,0,.58333331,.58333331,1.3722001,0,441,.34027776,.34027776
24,69,22,14,0,0,1.5833333,.66666669,1.9493881,0,484,2.5069442,.44444448
24,70,23,14,0,0,2.6217947,1.6666666,2.0000293,0,529,6.8738074,2.7777777
24,71,24,14,0,0,2.679487,1.75,2.0875666,0,576,7.1796503,3.0625
24,72,25,14,0,0,3.5064101,.75,2.0990551,0,625,12.294912,.5625
24,73,26,14,0,0,4.5064101,1.8333334,2.0388083,0,676,20.307732,3.3611112
24,75,28,14,0,0,5.083333,3.8333333,1.8800836,0,784,25.840275,14.694444
24,77,30,14,0,0,5.2756405,.33333334,1.8061476,0,900,27.832382,.11111112
24,78,31,14,0,0,6.3525639,1.4166666,1.8579543,0,961,40.355068,2.0069444
24,80,33,14,0,0,8.2371788,3.25,1.9986045,0,1089,67.851112,10.5625
24,82,35,14,0,0,10.121794,5.25,2.1621723,0,1225,102.45071,27.5625
24,83,36,14,0,0,11.121794,0,2.1196868,0,1296,123.6943,0
24,85,38,14,0,0,13.121794,0,2.3079464,0,1444,172.18147,0
24,87,40,14,0,0,15.121794,2,2.3867352,0,1600,228.66864,4
24,88,41,14,0,0,16.467947,3.4166667,2.4064951,0,1681,271.19327,11.673612
25,68,22,14,0,0,.5,.5,1.8856028,0,484,.25,.25
25,69,23,14,0,0,1.5,1.5,1.9902104,0,529,2.25,2.25
25,70,24,14,0,0,2.5384617,2.5,2.0432465,0,576,6.4437876,6.25
25,71,25,14,0,0,3.1538463,2.8333333,2.1680541,0,625,9.9467459,8.0277777
25,75,29,14,0,0,5.7692308,1.5,2.0781736,0,841,33.284023,2.25
25,77,30,14,0,0,6.7692308,3.4166667,2.1097133,0,900,45.822487,11.673612
25,78,32,14,0,0,7.8076925,4.5,2.1157839,0,1024,60.960064,20.25
25,80,33,14,0,0,9.6923084,6.4166665,2.0968978,0,1089,93.940842,41.173611
25,82,35,14,0,0,11.576923,8.416667,2.226783,0,1225,134.02516,70.840286
25,83,36,14,0,0,12.576923,0,2.3111935,0,1296,158.179,0
25,85,38,14,0,0,14.576923,2,2.1540928,0,1444,212.48669,4
25,87,41,14,0,0,16.576923,4.0833335,2.2668359,0,1681,274.7944,16.673613
25,88,42,14,0,0,17.75,5.4166665,2.259815,0,1764,315.0625,29.340277
26,68,23,14,0,0,.5,.5,1.9345772,0,529,.25,.25
26,69,24,14,0,0,1.5,1.5,2.1328664,0,576,2.25,2.25
26,70,25,14,0,0,2.5384617,2.5,2.0432465,0,625,6.4437876,6.25
26,71,26,14,1,0,3.5192308,3.5,2.1224883,0,676,12.384986,12.25
26,83,38,14,1,0,10.442307,3.1666667,1.1537404,0,1444,109.04179,10.027779
26,87,42,14,1,0,14.25,2.5833333,1.9017074,0,1764,203.0625,6.6736107
27,68,22,14,0,0,.41666666,.41666666,1.9917357,0,484,.1736111,.1736111
27,69,23,14,0,0,1.4166666,1.3333334,1.9902104,0,529,2.0069444,1.7777779
27,70,24,14,0,0,2.4551282,2.3333333,2.1680541,0,576,6.0276546,5.4444442
27,71,25,14,0,0,3.4166665,3.3333333,2.1224883,0,625,11.67361,11.111111
29,69,20,13,0,1,.67307693,.66666669,1.9318749,0,400,.45303255,.44444448
29,70,21,13,0,0,1.3461539,1,1.7288455,0,441,1.8121302,1
29,71,22,13,0,0,2.2884617,.91666669,2.111764,0,484,5.2370567,.84027779
29,72,23,13,0,0,3.3653846,2,1.6737087,0,529,11.325813,4
30,70,19,8,0,0,2.6666667,2.6666667,1.4793844,0,361,7.1111116,7.1111116
30,71,20,8,0,0,3.2435899,.58333331,1.5394455,0,400,10.520875,.34027776
30,72,21,8,0,0,3.7435899,.58333331,1.5767901,0,441,14.014465,.34027776
30,73,22,8,0,0,4.2051282,1.1666666,1.0615302,0,484,17.683104,1.361111
30,77,26,8,0,0,4.3974357,.083333336,1.6773648,0,676,19.33744,.006944445
30,82,31,8,0,0,4.9551277,.58333331,1.4109865,0,961,24.553291,.34027776
30,83,32,8,0,0,5.8782048,1.5,1.382926,0,1024,34.553291,2.25
33,68,22,12,0,0,.84615386,0,1.565217,0,484,.71597636,0
35,82,29,11,0,0,2.8589742,1.1666666,1.1314017,0,841,8.1737337,1.361111
36,70,18,12,0,0,2.6474359,2,1.7670667,0,324,7.0089169,4
36,71,19,12,0,0,3.6282051,1.3333334,1.5977139,0,361,13.163872,1.7777779
36,72,20,12,0,0,4.6089745,1.1666666,1.3015075,0,400,21.242645,1.361111
